AgeGroup,Gender,CityTier,Occupation,PlayFrequency,PlayingLevel,PlayLocation,Motivation_1,Motivation_2,RacketsOwned,PrimaryBrand,StringChangeFreq,Factor_1,Factor_2,LastPurchase,PurchaseChannel,Item_1,Item_2,PlayerType,BrandImportance,WillingToPayPremium,UsesFitnessApps,InterestInTracking,InterestInRecommendations,MonthlySpend,TooExpensivePrice,ScenarioResponse,InterestLevel,InterestBinary,EngagementScore,SeriousnessIndex,SpendingScore
Under 18,Male,Tier 3,Student,1-2/week,Competitive,Society/club,Fitness,,2,Yonex,2-3 months,Brand,Performance,<1 month,Online,Apparel,Shuttlecocks,Aspiring professional,Very important,Yes,Yes,Yes,Yes,3000+,5000-10000,Skip,Likely,1,7,11,9
45+,Female,Tier 2,Working Professional,Daily,Competitive,Outdoor,Stress relief,Fitness,3+,Li-Ning,Monthly,Performance,,1-3 months,Offline store,Strings,Grips,Aspiring professional,Somewhat important,Maybe,No,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,9,13,8
35-44,Male,Tier 3,Others,3-5/week,Advanced,Outdoor,Competition,Stress relief,3+,Decathlon,Monthly,Brand,Performance,1-3 months,Brand store,Strings,Shuttlecocks,Aspiring professional,Very important,Maybe,Yes,Maybe,Yes,3000+,5000-10000,Buy branded,Very likely,1,7,10,9
18-24,Male,Tier 1,Student,1-2/week,Intermediate,Society/club,Fitness,,3+,Decathlon,2-3 months,Performance,Price,1-3 months,Online,Grips,Strings,Fitness-focused,Somewhat important,No,No,Yes,Maybe,1500-3000,5000-10000,Buy immediately,Likely,1,5,7,6
18-24,Male,Tier 2,Working Professional,1-2/week,Intermediate,Society/club,Fitness,Socializing,1,Yonex,Rarely,Brand,,3-6 months,Offline store,Shuttlecocks,,Fitness-focused,Very important,Yes,Yes,Maybe,Maybe,500-1500,<2000,Skip,Neutral,0,5,7,5
18-24,Male,Tier 1,Working Professional,Occasionally,Intermediate,Society/club,Socializing,Competition,1,Decathlon,Never,Brand,Recommendation,>6 months,Offline store,Grips,Shuttlecocks,Fitness-focused,Very important,No,Yes,Maybe,Maybe,3000+,10000+,Buy branded,Neutral,0,4,6,9
18-24,Male,Tier 1,Student,Occasionally,Intermediate,Indoor courts,Fitness,Socializing,1,Decathlon,Monthly,Price,,3-6 months,Online,Shuttlecocks,,Competitive player,Very important,Yes,Yes,Yes,Yes,0-500,<2000,Borrow,Very likely,1,4,6,3
25-34,Male,Tier 1,Business Owner,Rarely,Beginner,Indoor courts,Fitness,,2,Li-Ning,Rarely,Performance,,1-3 months,Offline store,Shoes,Apparel,Casual player,Somewhat important,No,Yes,Maybe,Maybe,500-1500,2000-5000,Borrow,Neutral,0,2,3,4
18-24,Male,Tier 1,Student,1-2/week,Advanced,Society/club,Stress relief,,2,Yonex,Monthly,Price,Performance,3-6 months,Brand store,Strings,,Casual player,Somewhat important,Maybe,No,Maybe,No,500-1500,<2000,Buy immediately,Unlikely,0,6,9,4
18-24,Female,Tier 1,Working Professional,3-5/week,Beginner,Indoor courts,Competition,Fitness,2,Decathlon,Never,Price,Recommendation,3-6 months,Brand store,Shuttlecocks,Strings,Fitness-focused,Somewhat important,No,Yes,Yes,No,1500-3000,2000-5000,Buy branded,Neutral,0,5,6,6
25-34,Female,Tier 1,Working Professional,1-2/week,Intermediate,Outdoor,Competition,,3+,Decathlon,Never,Price,Performance,3-6 months,Offline store,Strings,,Casual player,Somewhat important,Yes,Yes,Yes,Yes,1500-3000,2000-5000,Buy branded,Likely,1,5,7,6
Under 18,Male,Tier 1,Student,1-2/week,Intermediate,Indoor courts,Fitness,,2,Li-Ning,Rarely,Brand,Performance,1-3 months,Brand store,Apparel,Strings,Fitness-focused,Not important,No,Yes,Maybe,Yes,3000+,10000+,Skip,Very likely,1,5,7,8
18-24,Female,Tier 3,Student,1-2/week,Beginner,Society/club,Competition,Fitness,1,Yonex,Monthly,Recommendation,Performance,3-6 months,Offline store,Strings,Shuttlecocks,Casual player,Somewhat important,No,Yes,No,No,0-500,<2000,Skip,Unlikely,0,4,5,2
18-24,Female,Tier 1,Working Professional,Occasionally,Beginner,Society/club,Socializing,Competition,1,Li-Ning,2-3 months,Performance,,>6 months,Offline store,Strings,,Casual player,Not important,Maybe,Yes,Maybe,Maybe,500-1500,<2000,Borrow,Neutral,0,3,4,4
18-24,Female,Tier 2,Student,1-2/week,Intermediate,Outdoor,Stress relief,,1,Decathlon,2-3 months,Brand,,<1 month,Online,Strings,Grips,Aspiring professional,Very important,Maybe,No,Yes,Maybe,1500-3000,10000+,Buy branded,Very likely,1,5,7,7
35-44,Male,Tier 1,Business Owner,1-2/week,Intermediate,Indoor courts,Fitness,Socializing,3+,Others,Never,Performance,Price,3-6 months,Online,Shoes,,Fitness-focused,Very important,No,Yes,Yes,No,3000+,2000-5000,Buy immediately,Likely,1,5,7,9
18-24,Male,Tier 3,Student,3-5/week,Intermediate,Society/club,Socializing,Competition,1,Others,Monthly,Performance,Price,1-3 months,Offline store,Grips,Apparel,Fitness-focused,Not important,Maybe,Yes,Maybe,Yes,0-500,<2000,Skip,Likely,1,6,8,2
25-34,Male,Tier 3,Working Professional,Daily,Intermediate,Outdoor,Socializing,Fitness,2,Li-Ning,Rarely,Price,,1-3 months,Offline store,Grips,Shuttlecocks,Casual player,Very important,Yes,Yes,No,Maybe,1500-3000,2000-5000,Buy branded,Likely,1,7,9,7
25-34,Female,Tier 2,Working Professional,3-5/week,Intermediate,Indoor courts,Fitness,,1,Decathlon,Monthly,Price,Brand,<1 month,Online,Shuttlecocks,Shoes,Casual player,Not important,No,Yes,Yes,No,1500-3000,2000-5000,Buy branded,Likely,1,6,8,6
Under 18,Male,Tier 2,Student,3-5/week,Intermediate,Indoor courts,Fitness,Socializing,1,Yonex,2-3 months,Brand,Price,3-6 months,Offline store,Shoes,,Fitness-focused,Not important,No,No,Yes,Yes,3000+,2000-5000,Skip,Very likely,1,6,8,8
25-34,Male,Tier 1,Working Professional,Occasionally,Beginner,Society/club,Socializing,,1,Others,Never,Recommendation,Brand,>6 months,Online,Grips,Shuttlecocks,Casual player,Not important,No,No,Maybe,Yes,500-1500,5000-10000,Buy immediately,Likely,1,3,4,4
18-24,Male,Tier 3,Working Professional,3-5/week,Advanced,Indoor courts,Fitness,Socializing,2,Yonex,2-3 months,Brand,Performance,1-3 months,Offline store,Grips,Shuttlecocks,Competitive player,Very important,Yes,No,Yes,Yes,1500-3000,2000-5000,Buy immediately,Very likely,1,7,10,7
Under 18,Male,Tier 3,Student,Occasionally,Intermediate,Outdoor,Fitness,Stress relief,1,Decathlon,Rarely,Brand,Performance,3-6 months,Offline store,Apparel,Shuttlecocks,Casual player,Somewhat important,Maybe,No,No,Yes,1500-3000,2000-5000,Buy branded,Likely,1,4,6,6
45+,Male,Tier 3,Others,1-2/week,Competitive,Outdoor,Competition,Fitness,3+,Yonex,2-3 months,Performance,Price,1-3 months,Offline store,Shuttlecocks,Apparel,Competitive player,Very important,Yes,No,Yes,Yes,1500-3000,5000-10000,Buy immediately,Very likely,1,7,11,7
45+,Male,Tier 2,Business Owner,Daily,Intermediate,Outdoor,Competition,Socializing,2,Decathlon,2-3 months,Performance,Price,<1 month,Offline store,Shuttlecocks,,Casual player,Very important,Yes,No,Maybe,Maybe,500-1500,10000+,Buy branded,Unlikely,0,7,9,5
35-44,Male,Tier 1,Business Owner,Occasionally,Intermediate,Indoor courts,Competition,Fitness,3+,Li-Ning,2-3 months,Recommendation,,>6 months,Brand store,Grips,Shuttlecocks,Fitness-focused,Very important,Maybe,No,Yes,No,3000+,5000-10000,Skip,Neutral,0,4,6,9
18-24,Male,Tier 3,Student,1-2/week,Intermediate,Outdoor,Fitness,,3+,Yonex,Rarely,Price,Brand,1-3 months,Brand store,Strings,Grips,Fitness-focused,Very important,Maybe,Yes,Maybe,Maybe,500-1500,2000-5000,Buy branded,Unlikely,0,5,7,5
Under 18,Female,Tier 1,Student,3-5/week,Advanced,Indoor courts,Fitness,Competition,2,Yonex,Monthly,Price,,<1 month,Brand store,Grips,Shoes,Competitive player,Somewhat important,Yes,Yes,Yes,No,3000+,5000-10000,Buy branded,Likely,1,7,10,8
25-34,Female,Tier 2,Business Owner,Occasionally,Intermediate,Indoor courts,Stress relief,,2,Yonex,2-3 months,Price,,1-3 months,Online,Grips,Strings,Casual player,Not important,No,Yes,Yes,Maybe,1500-3000,2000-5000,Skip,Likely,1,4,6,6
18-24,Female,Tier 1,Student,Daily,Intermediate,Indoor courts,Stress relief,Socializing,1,Yonex,Never,Price,Recommendation,<1 month,Online,Shuttlecocks,,Fitness-focused,Somewhat important,No,Yes,Yes,Yes,3000+,5000-10000,Buy branded,Unlikely,0,7,9,8
Under 18,Female,Tier 3,Student,3-5/week,Beginner,Society/club,Fitness,Competition,1,Li-Ning,Never,Brand,Recommendation,1-3 months,Online,Strings,,Casual player,Somewhat important,Maybe,Yes,Yes,No,0-500,2000-5000,Buy immediately,Unlikely,0,5,6,2
18-24,Male,Tier 1,Student,Occasionally,Intermediate,Indoor courts,Socializing,Fitness,2,Li-Ning,Rarely,Price,Brand,1-3 months,Brand store,Strings,Grips,Competitive player,Very important,Yes,Yes,Maybe,Yes,3000+,2000-5000,Buy immediately,Likely,1,4,6,9
Under 18,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Socializing,,1,Decathlon,Monthly,Performance,Price,<1 month,Offline store,Shuttlecocks,,Fitness-focused,Not important,Yes,Yes,Yes,Maybe,500-1500,<2000,Skip,Likely,1,3,4,4
45+,Female,Tier 2,Business Owner,3-5/week,Intermediate,Indoor courts,Competition,,2,Others,Rarely,Brand,Price,<1 month,Offline store,Shuttlecocks,Grips,Casual player,Very important,Yes,No,Yes,Yes,500-1500,5000-10000,Buy immediately,Very likely,1,6,8,5
18-24,Male,Tier 3,Working Professional,Daily,Advanced,Society/club,Socializing,,2,Yonex,Rarely,Performance,Brand,3-6 months,Online,Shuttlecocks,,Fitness-focused,Very important,Maybe,No,Yes,Yes,500-1500,<2000,Buy immediately,Very likely,1,8,11,5
25-34,Male,Tier 2,Working Professional,Occasionally,Beginner,Society/club,Socializing,Fitness,1,Yonex,Rarely,Price,Brand,1-3 months,Online,Shoes,,Casual player,Somewhat important,No,Yes,Maybe,Yes,0-500,<2000,Skip,Likely,1,3,4,2
18-24,Male,Tier 1,Student,1-2/week,Intermediate,Indoor courts,Stress relief,,1,Yonex,2-3 months,Brand,Performance,1-3 months,Offline store,Shuttlecocks,,Fitness-focused,Very important,Maybe,No,Maybe,Maybe,1500-3000,2000-5000,Buy immediately,Very likely,1,5,7,7
25-34,Male,Tier 1,Working Professional,3-5/week,Intermediate,Society/club,Competition,Socializing,3+,Yonex,2-3 months,Performance,Price,<1 month,Online,Grips,Shoes,Competitive player,Somewhat important,No,Yes,Yes,Yes,1500-3000,<2000,Skip,Very likely,1,6,8,6
25-34,Male,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Stress relief,,1,Decathlon,Rarely,Performance,Brand,1-3 months,Offline store,Strings,,Casual player,Somewhat important,Yes,Yes,Maybe,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,5,7,4
18-24,Male,Tier 3,Student,Rarely,Beginner,Outdoor,Competition,Stress relief,1,Decathlon,Never,Price,Brand,3-6 months,Offline store,Grips,Shuttlecocks,Fitness-focused,Not important,Maybe,Yes,Yes,Yes,0-500,<2000,Skip,Likely,1,2,3,2
45+,Male,Tier 3,Others,Daily,Competitive,Society/club,Socializing,,3+,Li-Ning,Monthly,Price,Recommendation,1-3 months,Offline store,Shuttlecocks,,Competitive player,Somewhat important,Maybe,Yes,Yes,Yes,3000+,2000-5000,Buy branded,Likely,1,9,13,8
35-44,Female,Tier 2,Business Owner,Occasionally,Intermediate,Outdoor,Fitness,Stress relief,1,Yonex,2-3 months,Brand,,<1 month,Offline store,Shuttlecocks,Shoes,Fitness-focused,Not important,No,No,Yes,Maybe,500-1500,<2000,Borrow,Neutral,0,4,6,4
45+,Male,Tier 3,Working Professional,1-2/week,Beginner,Outdoor,Stress relief,,2,Decathlon,Never,Price,Brand,1-3 months,Online,Grips,Strings,Casual player,Somewhat important,Yes,Yes,Yes,No,0-500,<2000,Skip,Neutral,0,4,5,2
35-44,Male,Tier 2,Business Owner,1-2/week,Intermediate,Outdoor,Socializing,,3+,Others,Rarely,Performance,Brand,1-3 months,Online,Grips,,Fitness-focused,Very important,Yes,No,No,Yes,500-1500,2000-5000,Buy branded,Unlikely,0,5,7,5
25-34,Male,Tier 2,Working Professional,Occasionally,Competitive,Indoor courts,Fitness,,2,Yonex,2-3 months,Recommendation,,1-3 months,Offline store,Shoes,,Competitive player,Very important,Maybe,Yes,Yes,Maybe,1500-3000,5000-10000,Buy branded,Likely,1,6,10,7
45+,Female,Tier 2,Business Owner,Rarely,Beginner,Society/club,Socializing,Fitness,1,Others,Rarely,Performance,Price,>6 months,Brand store,Shuttlecocks,Grips,Casual player,Not important,Maybe,No,Maybe,No,500-1500,2000-5000,Skip,Likely,1,2,3,4
Under 18,Male,Tier 2,Student,3-5/week,Beginner,Outdoor,Socializing,,3+,Yonex,Rarely,Performance,,1-3 months,Brand store,Strings,,Casual player,Somewhat important,Yes,No,Maybe,Yes,500-1500,10000+,Borrow,Neutral,0,5,6,4
18-24,Male,Tier 3,Working Professional,3-5/week,Intermediate,Indoor courts,Socializing,Fitness,2,Yonex,Monthly,Brand,,<1 month,Online,Shoes,Grips,Competitive player,Somewhat important,Yes,No,Maybe,Yes,500-1500,5000-10000,Buy immediately,Unlikely,0,6,8,4
Under 18,Male,Tier 2,Student,Rarely,Beginner,Society/club,Socializing,Competition,1,Others,2-3 months,Brand,Performance,3-6 months,Online,Shuttlecocks,Apparel,Casual player,Somewhat important,Maybe,No,Maybe,Yes,0-500,<2000,Skip,Likely,1,2,3,2
18-24,Male,Tier 1,Student,Occasionally,Beginner,Society/club,Competition,Stress relief,2,Decathlon,Rarely,Performance,,>6 months,Offline store,Shoes,Shuttlecocks,Fitness-focused,Somewhat important,Yes,Yes,Yes,No,0-500,<2000,Buy immediately,Very likely,1,3,4,2
18-24,Female,Tier 1,Student,1-2/week,Intermediate,Society/club,Stress relief,Competition,1,Yonex,2-3 months,Performance,,<1 month,Online,Grips,Strings,Fitness-focused,Somewhat important,Maybe,No,Yes,Yes,3000+,2000-5000,Buy immediately,Very likely,1,5,7,8
18-24,Female,Tier 1,Student,1-2/week,Intermediate,Indoor courts,Stress relief,Fitness,1,Yonex,Rarely,Performance,Price,>6 months,Online,Grips,,Casual player,Very important,Yes,Yes,No,Maybe,1500-3000,5000-10000,Buy immediately,Likely,1,5,7,7
35-44,Male,Tier 2,Working Professional,Occasionally,Intermediate,Society/club,Socializing,Stress relief,3+,Li-Ning,Rarely,Performance,Recommendation,3-6 months,Offline store,Grips,,Casual player,Somewhat important,Maybe,No,Maybe,No,500-1500,2000-5000,Skip,Unlikely,0,4,6,4
18-24,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Fitness,,1,Decathlon,Never,Performance,,3-6 months,Online,Grips,,Casual player,Somewhat important,Maybe,No,Yes,Maybe,0-500,<2000,Skip,Neutral,0,3,4,2
18-24,Female,Tier 1,Student,Rarely,Beginner,Society/club,Fitness,,2,Decathlon,Never,Brand,,>6 months,Online,Grips,Shoes,Casual player,Very important,No,No,Maybe,Maybe,1500-3000,5000-10000,Borrow,Likely,1,2,3,7
25-34,Male,Tier 2,Working Professional,1-2/week,Intermediate,Indoor courts,Competition,,2,Yonex,Monthly,Recommendation,Price,1-3 months,Offline store,Strings,Apparel,Casual player,Very important,Maybe,No,Yes,No,500-1500,2000-5000,Buy immediately,Neutral,0,5,7,5
Under 18,Male,Tier 2,Student,3-5/week,Intermediate,Indoor courts,Socializing,Fitness,2,Decathlon,2-3 months,Price,,<1 month,Offline store,Shuttlecocks,Shoes,Casual player,Very important,Yes,Yes,Maybe,Yes,0-500,2000-5000,Borrow,Likely,1,6,8,3
35-44,Male,Tier 3,Working Professional,1-2/week,Competitive,Society/club,Socializing,Fitness,2,Yonex,Monthly,Price,Brand,1-3 months,Offline store,Shuttlecocks,Shoes,Aspiring professional,Very important,Yes,Yes,Yes,Maybe,3000+,5000-10000,Buy branded,Very likely,1,7,11,9
Under 18,Female,Tier 2,Student,1-2/week,Advanced,Society/club,Socializing,,2,Yonex,2-3 months,Price,,3-6 months,Brand store,Grips,,Competitive player,Very important,Yes,No,Yes,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,6,9,5
45+,Male,Tier 3,Others,1-2/week,Beginner,Outdoor,Competition,Fitness,1,Decathlon,Rarely,Brand,Price,1-3 months,Online,Strings,Shuttlecocks,Casual player,Somewhat important,Maybe,No,Maybe,No,1500-3000,2000-5000,Skip,Neutral,0,4,5,6
35-44,Male,Tier 3,Others,1-2/week,Intermediate,Indoor courts,Fitness,Socializing,1,Li-Ning,2-3 months,Recommendation,Brand,<1 month,Offline store,Apparel,,Fitness-focused,Not important,No,No,Maybe,Yes,1500-3000,<2000,Skip,Likely,1,5,7,6
18-24,Female,Tier 3,Student,3-5/week,Intermediate,Indoor courts,Fitness,Competition,1,Yonex,Monthly,Recommendation,Brand,1-3 months,Online,Strings,Grips,Casual player,Somewhat important,Maybe,No,Maybe,Maybe,500-1500,<2000,Buy branded,Unlikely,0,6,8,4
Under 18,Male,Tier 2,Student,1-2/week,Competitive,Society/club,Fitness,,2,Yonex,Rarely,Brand,Recommendation,<1 month,Online,Shuttlecocks,Shoes,Competitive player,Somewhat important,Yes,No,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,7,11,8
35-44,Male,Tier 1,Working Professional,Occasionally,Beginner,Society/club,Competition,Socializing,3+,Yonex,Rarely,Recommendation,Brand,<1 month,Offline store,Shoes,,Fitness-focused,Very important,Yes,No,Yes,Yes,1500-3000,2000-5000,Buy immediately,Very likely,1,3,4,7
25-34,Female,Tier 3,Others,Occasionally,Intermediate,Society/club,Stress relief,Fitness,2,Yonex,2-3 months,Brand,Recommendation,1-3 months,Online,Strings,Grips,Competitive player,Very important,Yes,Yes,Maybe,Yes,500-1500,<2000,Buy immediately,Very likely,1,4,6,5
25-34,Male,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Fitness,Socializing,2,Yonex,Never,Price,Performance,3-6 months,Offline store,Strings,,Fitness-focused,Somewhat important,Maybe,No,Yes,Yes,500-1500,2000-5000,Buy immediately,Likely,1,5,7,4
35-44,Male,Tier 1,Working Professional,3-5/week,Beginner,Society/club,Socializing,Competition,1,Yonex,Never,Performance,,3-6 months,Online,Strings,Shuttlecocks,Casual player,Not important,No,No,Yes,Yes,0-500,10000+,Skip,Likely,1,5,6,2
Under 18,Male,Tier 2,Student,1-2/week,Intermediate,Indoor courts,Stress relief,,3+,Li-Ning,Monthly,Brand,Price,3-6 months,Offline store,Grips,Strings,Fitness-focused,Not important,Maybe,Yes,Maybe,Yes,3000+,10000+,Buy immediately,Likely,1,5,7,8
18-24,Male,Tier 1,Student,Occasionally,Beginner,Indoor courts,Fitness,,1,Yonex,Rarely,Brand,,1-3 months,Online,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,Maybe,Maybe,1500-3000,5000-10000,Skip,Unlikely,0,3,4,6
Under 18,Male,Tier 3,Student,1-2/week,Beginner,Society/club,Stress relief,,2,Decathlon,Rarely,Price,Brand,1-3 months,Online,Shuttlecocks,,Casual player,Somewhat important,No,No,No,Yes,500-1500,<2000,Skip,Likely,1,4,5,4
35-44,Male,Tier 2,Business Owner,Occasionally,Competitive,Outdoor,Competition,Socializing,2,Others,2-3 months,Performance,Brand,1-3 months,Offline store,Grips,,Competitive player,Somewhat important,Yes,Yes,Yes,Yes,3000+,10000+,Buy immediately,Very likely,1,6,10,8
25-34,Male,Tier 2,Working Professional,1-2/week,Competitive,Outdoor,Stress relief,Competition,2,Yonex,Monthly,Performance,Recommendation,3-6 months,Online,Shuttlecocks,Strings,Aspiring professional,Very important,Yes,Yes,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Neutral,0,7,11,7
18-24,Female,Tier 2,Student,3-5/week,Competitive,Outdoor,Socializing,Competition,1,Yonex,Monthly,Price,Performance,1-3 months,Offline store,Shoes,Shuttlecocks,Aspiring professional,Not important,Maybe,Yes,Yes,Maybe,500-1500,<2000,Buy immediately,Very likely,1,8,12,4
Under 18,Male,Tier 2,Student,Occasionally,Intermediate,Society/club,Stress relief,,2,Decathlon,Rarely,Brand,,<1 month,Online,Grips,Strings,Fitness-focused,Not important,No,No,Yes,Yes,1500-3000,<2000,Borrow,Likely,1,4,6,6
18-24,Male,Tier 1,Student,Daily,Competitive,Indoor courts,Socializing,Competition,2,Yonex,Rarely,Price,Brand,<1 month,Online,Shoes,Grips,Fitness-focused,Somewhat important,No,No,Yes,Yes,3000+,5000-10000,Buy branded,Very likely,1,9,13,8
18-24,Male,Tier 2,Student,1-2/week,Beginner,Indoor courts,Fitness,,2,Decathlon,Never,Price,Recommendation,1-3 months,Offline store,Strings,,Casual player,Somewhat important,No,No,Yes,Maybe,0-500,<2000,Borrow,Likely,1,4,5,2
25-34,Female,Tier 2,Business Owner,3-5/week,Beginner,Society/club,Fitness,Competition,1,Li-Ning,Rarely,Recommendation,Brand,1-3 months,Offline store,Shuttlecocks,Grips,Casual player,Not important,No,No,Yes,Maybe,0-500,2000-5000,Skip,Neutral,0,5,6,2
25-34,Male,Tier 2,Working Professional,Daily,Competitive,Society/club,Fitness,Stress relief,2,Yonex,2-3 months,Price,Recommendation,3-6 months,Brand store,Shuttlecocks,Shoes,Competitive player,Very important,Yes,Yes,Yes,Yes,3000+,5000-10000,Buy immediately,Very likely,1,9,13,9
35-44,Male,Tier 3,Working Professional,1-2/week,Beginner,Outdoor,Fitness,Stress relief,1,Others,Never,Performance,Price,<1 month,Offline store,Grips,Shuttlecocks,Fitness-focused,Not important,Maybe,Yes,No,Yes,500-1500,2000-5000,Borrow,Likely,1,4,5,4
18-24,Male,Tier 1,Student,1-2/week,Beginner,Indoor courts,Fitness,Competition,1,Yonex,Never,Brand,Performance,3-6 months,Online,Grips,Strings,Casual player,Not important,Maybe,Yes,Yes,Maybe,0-500,2000-5000,Borrow,Neutral,0,4,5,2
Under 18,Male,Tier 1,Student,Occasionally,Intermediate,Society/club,Stress relief,,1,Yonex,Rarely,Performance,,<1 month,Online,Strings,Grips,Fitness-focused,Very important,Yes,Yes,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Neutral,0,4,6,7
25-34,Male,Tier 1,Working Professional,Occasionally,Intermediate,Society/club,Competition,Stress relief,1,Yonex,Rarely,Performance,,1-3 months,Online,Shuttlecocks,Grips,Fitness-focused,Somewhat important,Maybe,Yes,Yes,Maybe,500-1500,2000-5000,Buy immediately,Likely,1,4,6,4
35-44,Female,Tier 1,Working Professional,Occasionally,Beginner,Indoor courts,Fitness,,1,Li-Ning,Never,Performance,,<1 month,Online,Shoes,Grips,Casual player,Somewhat important,Maybe,No,Maybe,No,500-1500,2000-5000,Borrow,Neutral,0,3,4,4
25-34,Male,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Fitness,,2,Yonex,Monthly,Price,,<1 month,Offline store,Grips,Shuttlecocks,Casual player,Somewhat important,Maybe,Yes,No,Yes,500-1500,5000-10000,Buy immediately,Very likely,1,5,7,4
35-44,Male,Tier 3,Working Professional,1-2/week,Beginner,Outdoor,Socializing,Fitness,1,Li-Ning,Rarely,Price,,<1 month,Online,Strings,,Fitness-focused,Not important,No,Yes,Yes,No,0-500,<2000,Skip,Neutral,0,4,5,2
18-24,Male,Tier 1,Student,1-2/week,Intermediate,Outdoor,Fitness,,2,Li-Ning,2-3 months,Price,,<1 month,Offline store,Apparel,Shoes,Competitive player,Very important,Yes,No,Yes,Maybe,3000+,10000+,Borrow,Very likely,1,5,7,9
25-34,Female,Tier 2,Working Professional,1-2/week,Beginner,Society/club,Socializing,Competition,1,Decathlon,Rarely,Price,Recommendation,3-6 months,Online,Shuttlecocks,Grips,Fitness-focused,Somewhat important,No,No,Yes,Maybe,500-1500,10000+,Borrow,Neutral,0,4,5,4
18-24,Male,Tier 2,Student,1-2/week,Competitive,Indoor courts,Competition,,2,Yonex,Monthly,Performance,,1-3 months,Brand store,Shuttlecocks,Apparel,Competitive player,Not important,Yes,Yes,Maybe,Maybe,3000+,5000-10000,Buy immediately,Unlikely,0,7,11,8
